id,target
Id_ln0e0hfrgx,22375000.0
Id_svf7nz9fxv,62965000.0
Id_ww2mh07gwj,79366000.0
Id_v88r4y03ww,20463900.0
Id_2u4y4kzglh,3212600.0
Id_fg5xfjllt4,21995000.0
Id_36nni5ck3y,50525000.0
Id_ba82xlxn6b,29491000.0
Id_00oxz7u1wh,85558000.0
Id_rtuwidza7r,28304000.0
Id_ig5fu4je0t,17700700.0
Id_82ghamllrc,7365200.0
Id_nlduydx4j8,34974000.0
Id_aqnys7s5jk,7687700.0
Id_5b44mi31so,35949000.0
Id_xmq0orr3ps,57411000.0
Id_vb1gojb1cu,28825600.0
Id_7z257yvzyw,44986000.0
Id_58q8t38nva,27555000.0
Id_8z6uoz393b,18161000.0
Id_9gf5o5hcux,47886000.0
Id_wqtmjqb7m2,11378750.0
Id_q0ibzrqxoc,66481000.0
Id_z45p3tbot2,26760400.0
Id_dkklfuxhpq,25611000.0
Id_1b606mpl4p,30929000.0
Id_4d8m3g1wea,81689000.0
Id_ec9j8ws9lt,39638000.0
Id_fwasw0onho,6037800.0
Id_qrq27l8oa8,57023000.0
Id_retgig1cps,31588000.0
Id_1q820b3xi1,67354000.0
Id_i42o5vcv4q,21183200.0
Id_tqpqwmw8nv,14543700.0
Id_aopbs73dkg,29642000.0
Id_qqhya8q9je,41221000.0
Id_7w7bb399z9,25086000.0
Id_e9j2fe72ai,42355000.0
Id_gkpmv3v4m3,43929000.0
Id_83l49plbfq,98231000.0
Id_fkangn004c,22969000.0
Id_h3udif2glc,56107000.0
Id_ykw176l05k,32073000.0
Id_9s8ak2k21h,66036000.0
Id_2873xncm39,26809000.0
Id_d8rz4uv5r1,69445000.0
Id_izkncv38r3,78415000.0
Id_lj0kzfquix,25502400.0
Id_hkbs54y4aa,40883000.0
Id_ooah1pyvm9,28338000.0
Id_q72f61u9ib,45701000.0
Id_pwucj9rqkz,29074000.0
Id_o6a4wjupd3,16351500.0
Id_zwy6kaapb3,41682000.0
Id_iezo0fjwjd,43431900.0
Id_us9byv8bhz,23628500.0
Id_9uxgfnmxot,32833000.0
Id_spelh6acm6,41868000.0
Id_cp1kly7ntu,63338000.0
Id_ubdczhavoj,11947100.0
Id_5jm6v968rw,53833000.0
Id_llhl9ci19l,28678000.0
Id_v75e4tjjyp,17216800.0
Id_xjbcoy2j3t,129987000.0
Id_g9ls8xasmf,37691400.0
Id_4il32jzymw,36557000.0
Id_hsar9qb88t,19403600.0
Id_e616f3pw24,33794000.0
Id_dxdf9ia7qq,27020700.0
Id_ts1bpzxmhf,45155000.0
Id_tkroyy1jrn,91982000.0
Id_4kire8foku,43539000.0
Id_b8jcitm9mb,45674000.0
Id_0lcc62azgt,42430900.0
Id_ii5e9k9rdn,58484000.0
Id_orvj8k9505,74322000.0
Id_4ho1b5bihf,69982000.0
Id_0fszzmatb2,13974500.0
Id_jczipbeekx,13262000.0
Id_7oeumi7wfc,24445000.0
Id_1qktcshxq6,26385000.0
Id_h6ly512bga,42393000.0
Id_j2mi3xzf5x,55106000.0
Id_ny4yh9avo8,17459200.0
Id_m9ohbj2egu,66850000.0
Id_x37vji5odd,29471000.0
Id_a73zxd6lr5,98825000.0
Id_halaamvvvp,53716000.0
Id_k4kkd2ico2,58663000.0
Id_17ixyxgfm4,10428100.0
Id_tigygaztu6,33210000.0
Id_9gnj56djlm,86814000.0
Id_flpv4jvtq9,34495000.0
Id_ppn1yrykhy,41960000.0
Id_feekjxu203,36653000.0
Id_25z907f057,42050800.0
Id_w1u0uv7prf,23380500.0
Id_g0ddcviyey,64394000.0
Id_2cwp9vm7ph,63200000.0
Id_plzeniztms,30062000.0
Id_sdxl4wyew3,27217000.0
Id_23kwe90eju,38107000.0
Id_5zrklzccpl,21775000.0
Id_heyzdak59s,28536000.0
Id_fat5t6u2m4,17844000.0
Id_77ppmeadhn,76009000.0
Id_vxy6mrz6o1,58736000.0
Id_og3uwtn2hy,28351000.0
Id_vkzbprc0ex,27738000.0
